Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Price,Year_gap
65,4298,5,3,2,2002,183703,24
66,1775,5,2,3,1946,723265,80
67,1516,4,4,3,1938,593344,88
68,837,3,2,3,1928,815034,98
69,1378,2,1,1,1953,560241,73
70,1576,3,4,2,1989,433800,37
71,4493,4,4,3,1984,689604,42
72,879,5,4,1,1916,740807,110
73,992,3,3,3,1979,628706,47
74,2562,5,3,3,1959,873622,67
75,4384,5,4,3,1930,76014,96
76,564,1,3,3,2014,778359,12
77,3068,3,2,3,1972,813277,54
78,2527,3,3,1,1994,231350,32
79,3195,5,3,2,1977,961995,49
80,1995,4,4,2,1948,838212,78
81,891,1,1,2,2000,534859,26
82,4974,5,1,2,1901,764618,125
83,4061,2,1,1,2015,540339,11
84,2778,2,2,1,1947,92192,79
85,3599,1,3,1,2009,941307,17
86,700,4,1,3,1913,411273,113
87,3604,5,4,3,1958,93923,68
88,2954,3,1,3,1996,663484,30
89,4145,1,1,2,1998,576683,28
90,1304,4,3,3,1957,414593,69
91,3231,3,3,2,2002,433891,24
92,3273,2,3,3,1957,802744,69
93,2070,2,2,2,2010,458995,16
94,3190,3,2,3,1950,645316,76
95,4340,1,1,3,1983,997226,43
96,1528,2,3,1,1901,450327,125
97,1002,5,1,3,2014,816751,12
98,4993,3,4,3,1940,715344,86
99,1370,3,4,1,1982,929608,44
100,4988,2,3,2,2022,777688,4
101,706,1,3,1,2000,305315,26
102,1984,5,4,1,1981,339068,45
103,1363,1,3,2,1915,495919,111
104,3290,4,2,3,1903,344721,123
105,1063,4,2,2,1911,188783,115
106,4691,2,3,3,1928,659836,98
107,2257,2,4,3,1906,307288,120
108,2178,2,1,2,1913,543085,113
109,3742,4,3,1,2018,545187,8
110,1559,1,3,2,1911,699381,115
111,2222,1,1,3,1998,285835,28
112,3814,2,3,2,1904,971600,122
113,3657,5,1,2,1980,902987,46
114,3125,1,4,3,2021,401992,5
115,3229,4,2,1,2005,256084,21
116,2097,3,4,2,1931,844686,95
117,3560,3,2,3,1973,437554,53
118,3193,3,1,3,1942,803315,84
119,4127,5,2,2,1980,520336,46
120,1863,2,4,1,1968,973469,58
121,2481,4,2,2,1944,258072,82
122,2163,5,1,1,2005,298029,21
123,2029,4,2,1,1908,259047,118
124,2538,4,3,1,1948,415169,78
125,3802,2,4,1,1932,180509,94
126,2737,3,3,2,1999,812072,27
127,1806,2,1,3,1999,345107,27
128,4529,5,2,3,1917,577561,109
129,3175,5,3,3,1908,589618,118
130,1782,5,3,3,1961,202566,65
131,1209,2,2,3,1956,650710,70
132,4913,4,2,3,1928,958521,98
133,4248,4,4,2,2013,53212,13
134,1163,1,3,1,1977,282131,49
135,2498,5,3,3,1924,526657,102
136,3945,4,1,2,1914,661882,112
137,4243,1,4,3,1905,182152,121
138,1995,4,1,3,2019,344819,7
139,3804,5,3,1,1941,72007,85
140,4263,3,1,1,1928,688093,98
141,2353,5,3,1,1978,394785,48
142,1791,2,3,3,1992,670103,34
143,4081,4,1,3,1903,883247,123
144,3957,4,1,3,1981,919914,45
145,2136,2,2,1,2013,837071,13
146,4196,2,2,2,1956,375737,70
147,3499,3,2,3,1948,562164,78
148,3652,4,3,3,1943,128038,83
149,1198,4,1,3,2002,406043,24
150,2660,3,4,2,1979,840168,47
151,4597,1,3,3,1974,827794,52
152,1354,3,4,2,1913,66473,113
153,3974,5,1,3,1902,703059,124
154,2207,4,3,2,2014,175801,12
155,3277,2,4,3,2013,944030,13
156,2233,5,4,1,1961,660911,65
157,4010,4,2,1,2005,558252,21
158,702,3,2,1,1963,275097,63
159,3755,5,2,1,2001,348964,25
160,4718,4,3,3,1944,265933,82
161,4996,1,1,1,2005,369733,21
162,1266,1,1,2,1981,771167,45
163,4889,2,2,1,1957,330558,69
164,2827,4,2,1,1919,439522,107
165,3431,1,2,1,1957,74220,69
166,697,3,4,3,2011,634819,15
167,2430,4,2,1,1988,422146,38
168,4082,3,4,2,1956,557409,70
169,1108,3,1,1,2001,747785,25
170,3772,1,3,1,1976,59387,50
171,1647,4,3,1,1967,295752,59
172,4782,5,3,2,2018,651103,8
173,3897,1,3,1,1977,601872,49
174,3011,1,4,2,1996,619071,30
175,2294,4,4,2,1991,745169,35
176,1159,4,2,1,1951,759687,75
177,3311,3,4,2,1936,698782,90
178,1869,4,2,3,1907,690102,119
179,2486,3,2,1,1943,300139,83
180,646,1,3,1,1997,967184,29
181,3719,2,4,2,2007,550228,19
182,3411,5,4,2,1904,716217,122
183,2234,1,2,1,2017,747621,9
184,2343,4,2,3,1968,910020,58
185,988,5,1,2,1930,984499,96
186,3476,2,1,2,1944,296509,82
187,2459,2,2,3,1908,63580,118
188,2885,3,1,3,2005,592528,21
189,3419,5,1,1,1931,828639,95
190,2302,3,2,3,1932,395590,94
191,4561,1,2,1,1966,518968,60
192,3869,5,4,3,1929,940965,97
193,762,1,2,2,2013,828559,13
194,1123,3,2,1,1975,533663,51
195,1516,5,3,1,1928,478082,98
196,4143,3,4,1,1902,655262,124
197,2549,5,4,3,1989,647689,37
198,4223,3,4,2,1956,263165,70
199,3608,2,3,1,1929,455427,97
200,4590,3,2,1,1908,502201,118
201,2556,2,4,1,1925,214340,101
202,3670,3,4,1,1901,840078,125
203,2182,5,1,2,1961,760731,65
204,2755,5,4,3,1902,822411,124
205,1654,5,2,2,1945,354960,81
206,4999,4,2,1,1967,139460,59
207,3691,1,1,2,1924,356256,102
208,2196,5,4,1,1950,101048,76
209,4491,2,4,3,1912,780806,114
210,2148,5,4,3,2002,182850,24
211,1945,4,3,3,1943,882184,83
212,4699,2,4,1,1934,528193,92
213,4423,4,2,2,1954,907158,72
214,753,2,2,3,1986,786200,40
215,3683,3,3,1,1908,994793,118
216,3057,1,3,1,1901,356932,125
217,598,1,4,2,1960,316891,66
218,2700,4,1,3,2017,574333,9
219,3461,1,3,1,1940,582046,86
220,4933,4,3,2,1943,829685,83
221,4277,4,4,3,1963,961508,63
222,3369,4,4,2,1930,728797,96
223,3734,1,3,2,2007,724945,19
224,4291,4,1,1,1946,190926,80
225,1456,1,3,1,1901,233148,125
226,4567,4,4,1,1995,893382,31
227,660,5,4,2,1981,722709,45
228,4993,4,3,1,1976,801588,50
229,1800,2,1,2,2009,726708,17
230,4487,4,3,2,1968,215368,58
231,2027,3,3,1,1957,544496,69
232,1718,4,4,3,2005,69455,21
233,4996,2,1,3,1943,784184,83
234,3604,2,2,3,1973,515139,53
235,3235,1,1,2,1955,281897,71
236,1454,5,3,2,1942,482509,84
237,3946,4,3,2,1988,542646,38
238,1545,1,3,1,1933,662840,93
239,2193,5,1,2,2000,882548,26
240,3936,4,4,1,1929,432605,97
241,1062,3,3,1,1970,614772,56
242,2985,4,3,3,1969,997719,57
243,3854,2,1,3,2017,393782,9
244,725,2,2,3,1954,708764,72
245,1459,3,2,1,1966,218332,60
246,3567,1,4,1,1912,150647,114
247,1315,5,4,1,1902,639930,124
248,3620,4,3,2,1925,786091,101
249,516,2,1,1,1956,882441,70
250,1743,1,3,3,1923,178824,103
251,2705,3,4,3,1952,823202,74
252,3024,2,1,1,1969,866037,57
253,1569,3,1,1,1942,685167,84
254,3944,4,4,3,1959,695115,67
255,3065,5,2,1,1957,317724,69
256,1560,2,2,3,1948,951334,78
257,2827,2,1,2,1941,317544,85
258,3920,4,3,3,1975,745003,51
259,801,1,2,2,2012,801545,14
260,4776,5,3,1,1999,932464,27
261,1106,2,2,1,1965,177319,61
262,3670,5,2,2,1910,562193,116
263,1199,2,3,1,2002,529389,24
264,1639,5,4,2,1997,156960,29
265,690,3,2,1,1989,89015,37
266,2800,2,2,3,1917,383857,109
267,1480,5,3,1,1984,778165,42
268,3475,1,4,3,1999,982478,27
269,1684,3,2,3,2003,195109,23
270,3827,3,2,2,1951,527508,75
271,3894,1,4,1,1945,836351,81
272,627,5,2,2,1943,983671,83
273,2565,4,4,1,1921,138754,105
274,2316,1,4,3,1952,271775,74
275,1069,5,3,3,1958,355292,68
276,2395,1,1,1,1993,777513,33
277,3233,1,4,1,2013,726894,13
278,4363,2,3,2,2006,796355,20
279,4514,5,1,1,2023,959222,3
280,3401,4,2,1,1929,922510,97
281,2186,2,1,1,1907,106879,119
282,3509,1,4,2,1997,169894,29
283,654,1,4,1,1956,640127,70
284,3037,1,4,3,2010,79756,16
285,1909,5,4,2,1972,718043,54
286,4557,5,4,2,2014,230557,12
287,1284,2,3,3,1919,279303,107
288,3675,4,4,3,2003,454241,23
289,4841,2,3,3,1924,724075,102
290,3306,3,2,1,1918,541599,108
291,1037,1,4,3,1904,545283,122
292,2341,1,4,1,1974,667231,52
293,2955,1,1,2,1978,792476,48
294,1024,2,2,2,1971,198188,55
295,3450,2,4,3,1982,611032,44
296,4631,1,4,1,1986,174697,40
297,4615,2,2,3,1926,530795,100
298,2868,5,3,3,1939,690360,87
299,4347,5,4,1,1995,445340,31
300,4995,2,1,3,1925,286028,101
301,3201,1,4,2,1926,743411,100
302,1471,2,1,3,1961,57176,65
303,1666,2,1,1,1982,927742,44
304,3274,2,4,1,1949,826653,77
305,2482,3,4,2,1941,508034,85
306,1353,5,1,1,1928,563611,98
307,4646,4,2,1,1938,199748,88
308,4236,4,2,2,1959,95177,67
309,4269,3,4,3,1940,533512,86
310,1074,2,3,2,1932,160623,94
311,3761,3,2,3,1982,575285,44
312,1648,3,4,2,2000,502546,26
313,2215,1,2,3,1982,546184,44
314,4354,5,3,2,1996,694467,30
315,2991,4,4,3,2010,297439,16
316,3160,2,3,2,1915,694691,111
317,3624,4,4,3,1922,978735,104
318,3551,4,3,2,1906,145287,120
319,504,5,2,1,1925,169574,101
320,1376,4,2,3,1995,830751,31
321,1491,4,3,2,1911,171509,115
322,4642,3,3,3,1971,397591,55
323,4864,5,3,3,1904,945954,122
324,4965,1,4,2,2005,499181,21
325,1135,2,2,3,1991,393288,35
326,2193,4,4,2,2016,822793,10
327,2182,2,2,1,1968,242589,58
328,619,1,1,3,1948,929125,78
329,1330,2,4,1,1925,406459,101
330,4175,1,2,3,1904,538720,122
331,1869,3,2,3,1921,863819,105
332,1240,4,4,3,1978,54090,48
333,616,1,4,2,1912,957278,114
334,3338,2,2,1,1927,468161,99
335,1650,4,4,3,1932,876671,94
336,2431,3,3,2,2006,53743,20
337,1512,4,4,3,1922,80924,104
338,2164,1,4,2,1996,191268,30
339,1581,3,4,3,2006,966592,20
340,1012,2,2,1,1917,928247,109
341,3349,3,3,1,2013,679600,13
342,1059,3,1,3,2016,381004,10
343,4172,5,1,2,1929,790537,97
344,3843,3,3,3,1925,798378,101
345,4570,3,3,2,1915,279602,111
346,1970,4,3,3,1976,392543,50
347,1080,2,2,2,1938,885227,88
348,2794,4,1,1,1932,887985,94
349,3647,4,3,3,1925,558928,101
350,4749,1,2,1,1947,153976,79
351,2179,4,1,1,1964,205183,62
352,4006,5,4,3,2012,687854,14
353,3244,5,2,3,1937,307443,89
354,3856,1,1,2,1901,694256,125
355,4545,2,2,2,2012,111600,14
356,1743,2,1,1,1905,624310,121
357,3618,4,1,2,1945,708559,81
358,2641,4,4,2,1949,887329,77
359,3559,4,2,3,1937,874470,89
360,3459,2,3,2,2005,173323,21
361,2765,3,4,1,1987,236110,39
362,2979,5,4,2,1917,694566,109
363,2135,3,1,1,1926,947486,100
364,2257,3,3,3,1940,320041,86
365,4952,2,2,1,1971,638829,55
366,2570,3,3,2,1991,156968,35
367,3349,1,3,3,1973,589180,53
368,3751,4,3,2,1916,975775,110
369,4230,1,3,3,2018,74815,8
370,2989,5,3,3,1961,882044,65
371,2131,4,1,2,1928,476573,98
372,3316,3,1,2,1957,518304,69
373,1515,5,4,3,1969,852699,57
374,1848,4,1,3,1977,854700,49
375,3587,3,4,2,1921,688751,105
376,3339,1,4,1,2017,981767,9
377,835,4,2,2,1905,514151,121
378,1395,3,3,3,1925,931779,101
379,4046,1,1,2,1938,240732,88
380,1351,5,2,1,1911,246599,115
381,2187,5,1,2,1998,244451,28
382,2431,5,4,3,1913,406686,113
383,4246,5,1,2,1921,746631,105
384,2927,2,3,3,1950,378756,76
385,2068,4,4,3,1922,188307,104
386,4500,4,4,2,1947,138757,79
387,3238,2,2,3,1970,459633,56
388,3998,3,3,3,2003,934507,23
389,4413,3,4,1,1949,346753,77
390,1566,5,3,1,1988,939217,38
391,4880,1,1,1,1912,304200,114
392,2944,3,3,1,1984,597933,42
393,4607,1,4,3,2004,506089,22
394,3873,4,2,2,1909,769918,117
395,4469,1,4,3,2016,374377,10
396,3046,4,3,3,1954,423587,72
397,1253,2,3,3,2022,204473,4
398,2582,2,4,2,1908,844203,118
399,3274,5,3,1,1978,517667,48
400,3396,3,1,3,1951,522650,75
401,4685,5,4,3,1901,510665,125
402,1275,4,2,1,1924,414745,102
403,2125,5,4,3,1912,535820,114
404,3569,1,1,2,1997,445158,29
405,917,4,1,3,1950,725748,76
406,614,2,1,3,1957,961656,69
407,1116,3,1,1,1933,657539,93
408,4474,4,1,3,1934,631330,92
409,3767,4,2,3,2001,890172,25
410,1325,1,3,2,1902,246945,124
411,2016,3,1,1,2005,621312,21
412,3646,2,1,1,2019,728810,7
413,912,4,4,2,1958,631253,68
414,1228,4,2,3,1969,322201,57
415,3848,1,2,1,2018,798609,8
416,3308,5,3,1,1947,845415,79
417,1175,2,2,3,1963,442613,63
418,3965,3,4,3,2012,594283,14
419,3004,4,4,1,1918,164587,108
420,3467,4,3,3,1966,283076,60
421,3286,2,4,1,1981,796988,45
422,1622,5,1,3,2002,520897,24
423,4579,4,1,3,1972,88886,54
424,2071,2,4,2,2015,401169,11
425,2643,1,3,3,1975,539788,51
426,2187,5,2,2,1904,145149,122
427,4632,3,3,3,1966,668308,60
428,4351,4,2,1,1910,576961,116
429,3940,2,4,1,2020,913945,6
430,4266,1,4,3,1993,73466,33
431,2826,3,1,3,1967,287626,59
432,3414,2,2,1,1968,928977,58
433,4452,2,3,3,1900,559966,126
434,1095,3,4,2,1990,624694,36
435,1228,1,3,2,1991,446904,35
436,1865,1,1,2,1962,643572,64
437,4992,5,2,2,1928,810006,98
438,1198,4,2,2,1981,951011,45
439,895,3,4,3,1911,587953,115
440,4671,3,2,3,1976,594929,50
441,4860,3,4,2,1940,475716,86
442,3002,1,1,3,1901,610085,125
443,2319,4,2,3,1936,790126,90
444,1217,5,4,2,1944,358094,82
445,3282,2,3,3,1979,992550,47
446,4077,2,4,3,1947,965986,79
447,643,3,2,3,1923,676627,103
448,3640,4,1,2,1998,687719,28
449,4991,1,2,3,1921,282275,105
450,3438,4,2,1,1999,452854,27
451,4136,4,4,1,1910,857605,116
452,3722,1,3,2,2018,718582,8
453,1667,3,2,1,1957,231136,69
454,3116,4,3,2,1945,218082,81
455,1562,2,4,1,1928,303301,98
456,2656,1,3,1,1934,592383,92
457,3482,5,4,1,2011,173554,15
458,3794,3,1,2,2017,444655,9
459,1656,1,3,2,1914,962046,112
460,1232,5,3,3,1959,809277,67
461,4830,5,1,2,1994,528766,32
462,1453,4,3,1,1941,972879,85
463,3039,4,1,1,2004,663311,22
464,3824,4,2,2,1942,681469,84
465,3801,1,4,2,1979,272310,47
466,2042,1,1,2,1973,857032,53
467,1691,3,3,3,1948,838898,78
468,3493,4,1,1,1963,830637,63
469,3181,5,3,3,1931,549344,95
470,1717,2,2,3,1963,750457,63
471,2040,3,1,1,2014,946366,12
472,3736,1,2,1,1901,627564,125
473,2886,3,4,2,1923,493333,103
474,4219,3,3,2,1986,490187,40
475,1888,3,3,3,1965,319072,61
476,2356,3,2,2,1937,891741,89
477,1865,2,4,2,1930,255719,96
478,999,4,1,1,2014,746248,12
479,2180,5,1,1,2003,800385,23
480,1010,3,3,2,1925,749192,101
481,4812,3,2,1,1928,166196,98
482,1824,3,2,2,1966,59404,60
483,1655,4,1,1,2021,476855,5
484,2327,1,4,1,1977,783478,49
485,3641,1,4,1,1924,503814,102
486,3986,2,1,1,1947,687475,79
487,2310,1,1,2,1964,946881,62
488,3423,3,2,3,1952,601972,74
489,2714,3,4,1,1966,642879,60
490,4686,3,1,2,2017,431965,9
491,1213,2,1,2,1989,783082,37
492,4102,3,3,1,1917,314826,109
493,4634,1,1,3,1908,161186,118
494,4022,4,1,1,1937,817469,89
495,4768,4,4,2,1986,596120,40
496,1743,5,2,3,1920,591285,106
497,4209,1,4,2,2020,346784,6
498,1581,3,2,1,1964,520098,62
499,955,4,3,3,1920,90491,106
500,1394,1,1,2,1926,113043,100
501,1884,4,3,2,2005,948607,21
502,2458,3,2,2,2022,178568,4
503,3572,4,4,1,1969,426394,57
504,2496,5,4,3,2018,647013,8
505,4785,5,3,1,1943,178131,83
506,1004,4,2,1,1999,95520,27
507,1714,1,3,1,1927,375063,99
508,2031,1,3,3,1944,684157,82
509,3940,1,1,1,1916,638730,110
510,1323,4,3,1,2022,835313,4
511,1428,1,1,1,1939,202842,87
512,633,3,1,1,2021,417390,5
513,2605,5,4,2,2015,752858,11
514,4127,3,1,1,1902,421831,124
515,2352,1,1,2,1975,572485,51
516,4675,3,4,1,2002,697735,24
517,3433,1,3,3,1975,635765,51
518,3784,4,2,2,1965,574532,61
519,4798,3,2,2,2019,915885,7
520,3311,4,2,2,1945,500953,81
521,1750,4,3,2,1985,227561,41
522,4012,2,1,3,1986,964394,40
523,1756,1,2,1,1929,907735,97
524,3876,5,3,2,1968,340534,58
525,3986,1,1,3,1908,584535,118
526,4084,5,4,2,1984,250123,42
527,1896,1,2,1,1910,765079,116
528,4137,4,1,2,1968,477894,58
529,3830,3,2,3,1998,531018,28
530,3203,3,2,1,1990,257358,36
531,970,2,2,3,2012,866015,14
532,1853,5,1,1,1965,566456,61
533,3283,5,3,1,1987,189148,39
534,3331,5,1,1,1930,985510,96
535,857,4,2,2,1932,196123,94
536,3519,5,1,3,1938,447530,88
537,1167,3,4,3,1993,602958,33
538,4968,4,3,3,1945,543973,81
539,1645,1,1,1,1936,961352,90
540,4685,5,4,2,2014,60236,12
541,4219,5,3,1,1991,85568,35
542,3245,1,4,3,1959,681615,67
543,1039,5,3,2,1930,305745,96
544,3279,1,1,2,1910,422332,116
545,4636,4,4,2,1986,535119,40
546,4275,3,2,3,2020,328496,6
547,3008,1,4,2,1901,700009,125
548,3279,2,3,2,2003,309291,23
549,1424,1,1,1,2004,488866,22
550,3456,5,3,1,1926,453562,100
551,2081,4,4,2,1998,730516,28
552,3824,4,4,2,1901,105904,125
553,4985,1,2,1,2002,981539,24
554,755,3,1,1,2000,958573,26
555,2338,2,1,1,1920,328252,106
556,2444,4,4,3,1957,572247,69
557,509,5,1,3,1904,839285,122
558,3371,5,2,1,1951,396300,75
559,1297,3,3,2,1944,316320,82
560,1515,4,1,1,1984,674747,42
561,2324,1,4,3,1992,469136,34
562,4969,5,3,2,1919,235922,107
563,3636,3,3,3,1960,187901,66
564,2693,4,2,2,1937,173225,89
565,723,4,4,3,1919,543406,107
566,4658,4,1,2,2013,810135,13
567,4425,4,4,2,1924,271738,102
568,4500,4,3,2,1901,954890,125
569,2133,5,4,2,2020,685181,6
570,2652,3,1,3,1931,910359,95
571,1010,4,1,3,1925,528076,101
572,884,2,2,2,1969,954610,57
573,904,2,1,2,1940,292726,86
574,2500,3,1,3,2020,352811,6
575,3256,1,4,2,1966,771202,60
576,2168,1,4,2,1996,479059,30
577,1960,1,3,2,1900,756168,126
578,4136,2,2,1,1950,473759,76
579,3224,1,4,2,1904,515996,122
580,4678,5,1,1,1912,56611,114
581,2548,4,3,2,1918,400386,108
582,4646,2,4,3,1911,921044,115
583,1216,3,2,1,1947,883334,79
584,2323,3,2,1,1924,821812,102
585,2581,4,3,2,1956,345187,70
586,3919,2,3,2,2014,186343,12
587,2074,1,3,1,1934,909299,92
588,749,1,3,3,1975,389233,51
589,1173,5,3,3,1993,895177,33
590,2665,5,1,2,1904,540092,122
591,1270,1,1,3,1997,240191,29
592,4462,3,4,3,1921,716933,105
593,4863,3,2,2,2002,726769,24
594,2484,5,1,3,1976,922402,50
595,1577,4,1,2,1956,336608,70
596,735,1,1,1,1946,299220,80
597,888,5,4,2,1953,486056,73
598,3537,5,3,1,1902,692811,124
599,2348,1,4,1,2023,594950,3
600,3314,1,2,3,1952,854660,74
601,3874,3,2,3,1983,635009,43
602,3778,4,2,3,1930,712746,96
603,1752,4,2,2,1968,843294,58
604,4481,1,1,3,1987,614396,39
605,2622,2,1,1,2003,141788,23
606,2650,5,4,3,2017,518239,9
607,1829,5,3,3,1932,294437,94
608,1858,1,2,2,1971,811299,55
609,2982,2,4,2,1987,916572,39
610,2517,3,1,1,1949,732561,77
611,1831,1,1,2,1983,905010,43
612,4844,1,3,3,2023,99966,3
613,4761,5,3,2,1915,235846,111
614,1858,1,3,1,2013,322530,13
615,3677,1,4,3,2015,651516,11
616,2628,1,1,1,1975,196297,51
617,2680,5,1,2,1976,459909,50
618,637,3,3,2,2008,384341,18
619,3972,3,2,1,2005,93021,21
620,3332,1,3,3,1938,431059,88
621,4079,5,4,2,1988,199333,38
622,3531,3,3,2,1945,470594,81
623,4664,3,3,3,1995,953606,31
624,3093,3,4,2,1987,826934,39
625,4800,5,3,1,2011,136755,15
626,4318,5,1,2,1946,979441,80
627,4638,1,2,2,1943,116330,83
628,4323,4,3,3,1908,752726,118
629,4542,3,4,1,2003,908754,23
630,2406,4,2,3,2013,938750,13
631,1260,5,4,2,1986,619601,40
632,3945,5,2,2,1949,284729,77
633,1399,5,2,3,1976,807071,50
634,4955,4,3,3,1959,339176,67
635,3447,5,1,3,2022,535179,4
636,2219,1,3,1,1995,198430,31
637,780,5,4,2,2013,898142,13
638,3766,2,4,3,1914,407470,112
639,2387,4,2,2,1935,398301,91
640,3766,2,2,1,2012,492037,14
641,1166,5,1,1,1962,78365,64
642,4688,1,3,1,1968,325333,58
643,1171,3,4,1,1985,519965,41
644,2469,5,2,2,1979,581536,47
645,4656,1,1,1,1940,54369,86
646,3622,4,4,1,1973,506979,53
647,4400,2,2,3,1923,975554,103
648,1023,2,4,1,1981,865037,45
649,2893,2,1,3,1948,886048,78
650,3617,4,1,1,1917,497695,109
651,3093,1,4,1,1906,415863,120
652,2468,4,3,3,1903,221955,123
653,2253,2,4,1,1989,607343,37
654,2796,5,2,2,1968,774091,58
655,2761,3,3,2,1959,428824,67
656,2786,4,2,1,1954,319594,72
657,4702,4,4,2,1915,183997,111
658,3378,1,3,3,1998,523267,28
659,4643,1,2,1,1989,100272,37
660,4144,4,4,1,1981,55310,45
661,4932,2,4,3,1928,81817,98
662,2555,3,3,3,1922,558350,104
663,1776,1,4,3,2016,536160,10
664,3266,2,1,1,1913,487744,113
665,802,5,2,3,1978,790176,48
666,1138,1,2,3,1948,132641,78
667,555,2,4,2,1932,789443,94
668,1025,2,4,2,1924,781670,102
669,4623,3,1,1,1920,589745,106
670,2625,3,3,2,1916,92311,110
671,3787,5,4,2,1922,971484,104
672,864,2,4,3,1956,201958,70
673,2146,2,4,3,2006,520328,20
674,1418,3,4,2,1980,494093,46
675,3297,1,2,2,1957,697861,69
676,2031,1,4,2,1913,409571,113
677,3845,4,2,1,1992,872613,34
678,2406,3,4,1,1919,214334,107
679,3586,4,3,1,1929,968451,97
680,2575,3,1,2,1918,443238,108
681,1213,5,3,2,1952,837560,74
682,1562,2,4,1,2002,653810,24
683,2476,5,4,1,1955,213394,71
684,1796,3,4,2,1976,98929,50
685,625,2,3,3,1981,655984,45
686,4096,1,4,1,1922,427389,104
687,3783,1,3,2,1961,846240,65
688,2103,4,2,2,2009,669436,17
689,566,3,1,3,1932,496098,94
690,732,3,1,2,2002,858157,24
691,2656,1,3,2,2003,384678,23
692,1669,5,2,1,1917,352094,109
693,2658,2,3,1,1972,794314,54
694,4706,5,2,3,1932,133576,94
695,1993,5,4,3,1931,70557,95
696,4507,1,2,2,1960,596113,66
697,2972,1,2,1,1953,321142,73
698,3160,1,2,3,1916,86080,110
699,3239,4,1,3,1918,833103,108
700,2261,5,2,3,1990,238869,36
701,4014,3,4,2,1969,721162,57
702,2475,2,4,1,1998,978671,28
703,2862,4,4,3,2019,543844,7
704,1376,3,2,1,2000,616695,26
705,4312,5,3,3,1933,170283,93
706,3948,1,3,3,1983,63338,43
707,1812,5,4,1,1924,650577,102
708,1960,2,1,1,1967,514736,59
709,3209,4,3,1,1973,724255,53
710,2824,4,2,2,1973,228982,53
711,2233,2,3,3,1987,967461,39
712,2105,3,4,2,1984,159367,42
713,3063,3,1,1,1910,378042,116
714,3921,4,3,3,1990,970958,36
715,4017,4,3,2,1915,691774,111
716,2897,1,4,3,1989,398684,37
717,4235,3,1,2,1960,544775,66
718,3370,2,1,1,1993,788497,33
719,1660,3,4,2,2012,493853,14
720,742,1,2,3,1979,830343,47
721,3090,4,3,3,1906,710709,120
722,1563,4,2,3,1915,961848,111
723,4824,1,3,3,1998,876395,28
724,3095,2,3,1,2021,450966,5
725,1419,4,2,2,1915,407073,111
726,505,5,4,1,1939,727823,87
727,967,4,4,1,1911,649223,115
728,4670,5,3,1,1934,764152,92
729,503,1,4,3,2012,850118,14
730,1145,1,3,3,1920,549555,106
731,617,4,4,3,1949,113528,77
732,3428,3,3,2,1942,674099,84
733,3051,5,4,3,1999,558907,27
734,4789,2,1,2,2011,334931,15
735,1346,4,2,3,1916,982280,110
